R_ID,A_ID,Name,Description,Created,Avg_Cost,Rating,Difficulty,Calories
1,3,Classic Margherita Pizza,"A simple and delicious Italian pizza topped with fresh tomato sauce, mozzarella cheese, and basil leaves, often baked in a wood-fired oven.",10/3/2023,47.31,5,1,769
2,17,Beef Stroganoff,"A creamy and savory Russian dish made with tender strips of beef, mushrooms, and onions, served over egg noodles or rice.",4/4/2023,44.18,4,4,353
3,14,Chicken Tikka Masala,"A flavorful Indian-inspired dish featuring marinated chicken cooked in a creamy, spiced tomato sauce, typically served with rice or naan.",5/21/2023,39.69,5,2,281
4,19,Spaghetti Carbonara,"A classic Italian pasta dish made with spaghetti, eggs, Parmesan cheese, and pancetta, creating a creamy, savory sauce.",10/27/2024,13.05,2,1,706
5,17,Thai Green Curry,"A spicy and aromatic Thai curry with green chilies, coconut milk, and a variety of fresh vegetables, typically served with rice.",9/26/2024,9.48,1,3,368
6,6,French Onion Soup,"A rich and hearty soup made with caramelized onions, beef broth, and topped with melted cheese on toasted bread.",4/6/2023,23.65,2,2,543
7,5,Beef Wellington,"A luxurious British dish featuring tender beef fillet coated with mushroom duxelles and wrapped in puff pastry, baked until golden.",12/5/2022,44.85,3,5,436
8,7,Vegetable Stir Fry,"A quick, healthy dish with a variety of fresh vegetables stir-fried in a savory sauce, often served over rice or noodles.",8/30/2023,31.01,1,1,408
9,3,Chocolate Lava Cake,"A decadent dessert with a rich chocolate cake exterior and a warm, gooey, melted chocolate center.",7/28/2023,38.15,2,4,367
10,7,Greek Moussaka,"A classic Greek casserole with layers of eggplant, ground beef or lamb, and a creamy béchamel sauce, baked to perfection.",3/30/2023,15.47,2,5,366
11,11,Fish and Chips,"A traditional British dish of battered and fried fish served with crispy, thick-cut fries, often with tartar sauce or malt vinegar.",9/16/2023,28.56,3,1,495
12,11,Caesar Salad,"A classic salad with romaine lettuce, Parmesan cheese, croutons, and a tangy Caesar dressing, often topped with grilled chicken.",4/1/2023,36.92,5,1,353
13,1,Mushroom Risotto,"A creamy Italian rice dish cooked with mushrooms, garlic, and Parmesan cheese, creating a rich, earthy flavor.",4/1/2023,42.12,3,4,750
14,15,Apple Pie,"A beloved dessert with a buttery crust filled with spiced, sweet-tart apples, baked until golden brown and often served with ice cream.",2/1/2024,41.32,2,3,292
15,11,Beef Tacos,"Soft or crispy tortillas filled with seasoned ground beef, topped with lettuce, cheese, and salsa.",4/25/2024,15.45,4,5,732
16,1,Pad Thai,"A popular Thai stir-fried noodle dish with shrimp or chicken, peanuts, eggs, and a tangy sauce made from tamarind and fish sauce.",8/14/2024,44.29,3,4,912
17,17,Chicken Parmesan,"Breaded chicken breast topped with marinara sauce and melted mozzarella, served over pasta or on its own.",12/21/2023,14.74,1,5,203
18,14,Carrot Cake,"A moist, spiced cake made with grated carrots and topped with cream cheese frosting, often including walnuts or raisins.",10/7/2024,41.09,1,2,350
19,1,Shepherd's Pie,"A comforting British dish of ground lamb or beef with vegetables in gravy, topped with mashed potatoes and baked until golden.",5/26/2023,29.98,1,3,203
20,1,Eggs Benedict,"A classic breakfast dish featuring poached eggs and Canadian bacon on an English muffin, topped with hollandaise sauce.",9/30/2023,13.36,4,1,873
